Data Series,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 ,1969 
Total Deaths By Causes,"24,220","22,054","21,446","21,282","20,905","20,017","19,862","19,393","18,938","18,481","18,027","17,610","17,101","17,222","17,140","16,393","16,215","15,860","16,036","15,820","15,367","15,693","15,516","15,657","15,305","15,590","15,569","14,946","14,461","14,337","13,876","13,891","14,069","13,690","13,173","12,821","13,348","13,162","13,321","12,896","12,863","12,505","12,468","12,065","11,955","11,648","11,447","11,674","11,920","11,522","11,329","10,717","10,224"
  Infective And Parasitic Diseases,977,216,239,199,189,174,194,217,211,233,244,269,279,285,307,257,373,296,250,289,296,276,311,361,318,358,369,366,398,342,321,347,439,430,432,402,375,390,432,393,432,425,503,502,523,554,630,714,775,752,702,727,708
    Tuberculosis,11,21,20,28,32,41,41,60,51,65,68,77,75,83,85,66,67,79,79,92,104,101,107,128,115,132,118,101,115,101,104,113,132,168,186,177,177,163,224,207,221,240,331,318,340,358,420,472,450,489,439,458,419
  Neoplasms,"6,584","6,480","6,253","6,243","6,237","5,993","5,986","5,790","5,849","5,651","5,461","5,078","5,063","5,081","4,803","4,722","4,331","4,353","4,187","4,465","4,384","4,278","4,168","4,091","4,178","4,034","3,921","3,785","3,560","3,497","3,405","3,314","3,321","3,233","3,169","2,921","2,939","2,817","2,903","2,729","2,672","2,623","2,542","2,415","2,326","2,278","2,123","2,002","1,912","1,821","1,728","1,633","1,577"
    Malignant Neoplasms,"6,392","6,306","6,097","6,132","6,077","5,925","5,903","5,701","5,775","5,565","5,411","5,025","5,010","5,038","4,745","4,677","4,289","4,303","4,146","4,425","4,339","4,238","4,134","4,050","4,128","3,985","3,898","3,756","3,531","3,456","3,361","3,269","3,283","3,194","3,131","2,887","2,893","2,776","2,858","2,668","2,616","2,561","2,488","2,386","2,286","2,245","2,083","1,955","1,863","1,773","1,688","1,596","1,533"
"  Endocrine, Nutritional And Metabolic Diseases",301,286,270,296,340,363,270,296,253,279,356,272,378,551,722,620,593,545,473,530,629,458,444,401,366,403,327,374,309,269,359,388,461,525,521,508,492,512,423,397,404,359,403,403,429,408,375,377,342,271,308,250,331
    Diabetes,274,274,263,281,321,343,250,277,247,268,299,182,290,463,609,536,510,474,373,425,512,355,350,308,282,320,271,334,264,238,320,332,419,501,492,479,464,469,373,361,368,319,347,334,377,334,259,257,247,207,212,134,184
  Diseases Of The Blood And Blood-Forming Organs,14,12,14,25,17,14,10,23,14,20,41,41,30,46,31,36,40,33,39,44,52,54,50,35,44,37,37,24,34,33,40,50,48,35,35,30,29,28,33,33,42,31,41,45,50,32,52,60,61,50,60,51,71
  Diseases Of The Nervous System And Sense Organs,208,156,183,215,185,226,210,144,137,166,117,92,68,75,64,62,68,81,67,94,122,107,105,110,95,89,89,71,93,127,117,143,111,133,102,87,87,97,92,121,114,131,122,114,110,129,133,149,169,171,166,173,221
  Diseases Of The Circulatory System,"8,077","7,296","6,556","6,457","6,541","6,107","6,101","5,987","5,765","5,747","5,720","5,807","5,611","5,794","5,835","5,441","5,397","5,423","5,727","5,401","5,588","5,749","5,810","5,711","5,680","5,896","5,560","5,460","5,315","5,270","5,070","5,152","5,082","4,847","4,675","4,482","4,651","4,637","4,436","4,430","4,413","4,305","4,233","3,983","3,889","3,798","3,369","3,295","3,169","2,999","3,120","2,899","2,733"
    Heart And Hypertensive Diseases,"6,198","5,633","5,023","4,939","4,970","4,576","4,534","4,165","3,914","3,848","3,920","4,161","4,081","4,201","4,197","3,833","3,656","3,714","4,067","3,856","4,075","3,976","4,061","3,950","3,943","3,984","3,742","3,653","3,552","3,457","3,234","3,385","3,416","3,318","3,251","3,028","3,129","3,156","2,911","2,866","2,892","2,777","2,752","2,518","2,426","2,283","2,000","2,014","1,967","1,819","1,925","1,780","1,761"
    Cerebrovascular Disease,"1,486","1,328","1,253","1,277","1,310","1,317","1,357","1,620","1,680","1,714","1,628","1,472","1,375","1,435","1,490","1,462","1,616","1,562","1,556","1,393","1,409","1,625","1,633","1,633","1,645","1,805","1,701","1,692","1,652","1,697","1,700","1,666","1,551","1,414","1,343","1,355","1,418","1,413","1,454","1,469","1,438","1,447","1,409","1,382","1,360","1,427","1,244","1,213","1,131","1,080","1,103","1,038",863
  Diseases Of The Respiratory System,"4,926","4,610","4,952","4,909","4,757","4,440","4,417","4,232","4,061","3,708","3,493","3,434","3,188","2,989","2,948","2,913","3,124","2,851","2,992","2,763","2,239","2,505","2,357","2,579","2,385","2,534","2,912","2,564","2,588","2,522","2,289","2,112","2,167","2,110","1,942","1,974","2,241","2,096","2,429","2,257","2,196","1,965","2,024","1,724","1,902","1,651","1,632","1,631","1,663","1,653","1,502","1,473","1,235"
    Pneumonia,"4,445","4,153","4,435","4,380","4,212","3,855","3,859","3,680","3,512","3,096","2,879","2,766","2,614","2,387","2,375","2,244","2,437","2,232","2,340","2,079","1,540","1,794","1,641","1,780","1,553","1,693","2,028","1,670","1,596","1,420","1,285","1,191","1,130","1,039",998,"1,082","1,287","1,204","1,513","1,375","1,284","1,129","1,124",942,"1,215","1,010",948,969,950,951,875,843,655
  Diseases Of The Digestive System,673,594,566,518,485,467,477,482,418,414,426,436,351,377,392,384,385,356,383,339,307,326,412,418,357,416,409,394,361,353,406,374,363,380,329,326,394,369,403,400,385,368,382,359,382,384,423,451,453,463,463,454,402
  Diseases Of The Genito-Urinary System,"1,205","1,177","1,182","1,092",925,913,928,951,967,934,918,893,861,753,739,637,634,641,587,594,487,486,470,494,399,444,483,444,371,362,369,346,370,380,393,343,319,405,375,319,366,366,349,381,324,281,311,320,275,279,252,239,234
  Congenital Anomalies,47,45,37,61,49,72,62,50,47,54,53,60,60,60,55,70,67,49,59,69,79,85,95,112,108,130,157,148,160,163,164,189,170,201,171,202,189,172,155,182,178,185,184,185,141,156,146,177,189,172,186,150,181
    Congenital Anomalies Of Heart,25,26,22,27,22,38,32,26,21,25,21,35,36,32,40,42,38,28,32,40,33,48,48,57,68,74,89,90,94,92,82,84,75,98,87,101,84,91,86,101,109,111,105,98,70,70,76,101,94,93,102,76,84
  Certain Causes Of Perinatal Mortality,36,23,31,35,39,36,30,42,43,44,49,34,49,39,32,43,39,22,41,52,24,48,52,62,61,64,51,68,76,82,89,123,135,127,128,128,147,151,149,215,208,227,261,239,247,221,254,322,477,502,455,463,460
"  Accidents, Poisonings And Violence",414,818,856,909,840,890,895,909,933,"1,030",989,973,978,"1,006","1,036","1,027","1,017","1,028","1,062","1,053","1,036","1,133","1,066","1,110","1,187","1,040","1,113","1,122","1,066","1,127","1,074","1,008","1,042",958,931,"1,025","1,082","1,095","1,085",966,938,899,876,"1,057",914,890,887,894,995,982,968,836,811
    Suicides,201,452,400,397,361,429,409,415,422,467,361,353,401,364,374,419,405,381,346,361,357,348,309,371,346,271,401,347,296,298,319,354,395,367,302,329,327,211,267,239,191,271,249,266,224,257,252,229,240,235,230,185,188
    Transport Accidents,72,89,133,140,141,164,168,183,176,192,207,208,201,226,232,199,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Other Diseases And Causes,758,341,307,323,301,322,282,270,240,201,160,221,185,166,176,181,147,182,167,127,124,188,176,173,127,145,141,126,130,190,173,345,360,331,345,393,403,393,406,454,515,621,548,658,718,866,"1,112","1,282","1,440","1,407","1,419","1,369","1,260"
